Site Name:,Snake Range West Pinyon-Juniper,Snake Range West Montane
Deployment:,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor
Monitored System:,Climate,Climate
Measured Property:,Relative humidity,Relative humidity
Vertical Offset from Surface:,,
Units:,%,%
Measurement Type:,Average,Average
Measurement Interval:,00:10:00,00:10:00
Time Stamp ((UTC-08:00) Pacific Time (US & Canada))
2019-11-02T00:00:00.0000000-08:00,20.860000000,23.750000000
2019-11-02T00:10:00.0000000-08:00,21.500000000,22.670000000
2019-11-02T00:20:00.0000000-08:00,21.920000000,19.030000000
2019-11-02T00:30:00.0000000-08:00,21.810000000,19.270000000
2019-11-02T00:40:00.0000000-08:00,22.260000000,17.950000000
2019-11-02T00:50:00.0000000-08:00,22.350000000,17.780000000
2019-11-02T01:00:00.0000000-08:00,22.550000000,16.040000000
2019-11-02T01:10:00.0000000-08:00,22.530000000,15.410000000
2019-11-02T01:20:00.0000000-08:00,21.890000000,16.870000000
2019-11-02T01:30:00.0000000-08:00,22.330000000,19.480000000
2019-11-02T01:40:00.0000000-08:00,23.030000000,20.470000000
2019-11-02T01:50:00.0000000-08:00,23.360000000,19.860000000
2019-11-02T02:00:00.0000000-08:00,23.230000000,19.780000000
2019-11-02T02:10:00.0000000-08:00,23.360000000,19.270000000
2019-11-02T02:20:00.0000000-08:00,23.880000000,16.690000000
2019-11-02T02:30:00.0000000-08:00,23.810000000,15.500000000
2019-11-02T02:40:00.0000000-08:00,23.560000000,16.890000000
2019-11-02T02:50:00.0000000-08:00,23.520000000,17.470000000
2019-11-02T03:00:00.0000000-08:00,24.620000000,14.480000000
2019-11-02T03:10:00.0000000-08:00,25.180000000,14.020000000
2019-11-02T03:20:00.0000000-08:00,24.680000000,13.880000000
2019-11-02T03:30:00.0000000-08:00,24.400000000,13.080000000
2019-11-02T03:40:00.0000000-08:00,23.510000000,13.070000000
2019-11-02T03:50:00.0000000-08:00,23.380000000,12.370000000
2019-11-02T04:00:00.0000000-08:00,22.640000000,11.930000000
2019-11-02T04:10:00.0000000-08:00,22.180000000,11.630000000
2019-11-02T04:20:00.0000000-08:00,21.300000000,11.620000000
2019-11-02T04:30:00.0000000-08:00,21.440000000,11.680000000
2019-11-02T04:40:00.0000000-08:00,20.880000000,12.040000000
2019-11-02T04:50:00.0000000-08:00,20.480000000,12.450000000
2019-11-02T05:00:00.0000000-08:00,20.210000000,12.120000000
2019-11-02T05:10:00.0000000-08:00,19.750000000,11.400000000
2019-11-02T05:20:00.0000000-08:00,19.240000000,11.200000000
2019-11-02T05:30:00.0000000-08:00,19.260000000,10.950000000
2019-11-02T05:40:00.0000000-08:00,19.310000000,10.820000000
2019-11-02T05:50:00.0000000-08:00,19.600000000,9.640000000
2019-11-02T06:00:00.0000000-08:00,18.900000000,9.060000000
2019-11-02T06:10:00.0000000-08:00,20.110000000,8.380000000
