Site Name:,Snake Range West Pinyon-Juniper,Snake Range West Montane
Deployment:,Air temperature and relative humidity monitor,Air temperature and relative humidity monitor
Monitored System:,Climate,Climate
Measured Property:,Relative humidity,Relative humidity
Vertical Offset from Surface:,,
Units:,%,%
Measurement Type:,Average,Average
Measurement Interval:,00:10:00,00:10:00
Time Stamp ((UTC-08:00) Pacific Time (US & Canada))
2019-10-31T00:00:00.0000000-08:00,24.350000000,11.710000000
2019-10-31T00:10:00.0000000-08:00,23.780000000,11.360000000
2019-10-31T00:20:00.0000000-08:00,24.230000000,10.890000000
2019-10-31T00:30:00.0000000-08:00,24.500000000,9.610000000
2019-10-31T00:40:00.0000000-08:00,23.590000000,9.990000000
2019-10-31T00:50:00.0000000-08:00,23.720000000,9.970000000
2019-10-31T01:00:00.0000000-08:00,24.780000000,11.370000000
2019-10-31T01:10:00.0000000-08:00,24.560000000,10.790000000
2019-10-31T01:20:00.0000000-08:00,24.660000000,10.370000000
2019-10-31T01:30:00.0000000-08:00,24.140000000,10.370000000
2019-10-31T01:40:00.0000000-08:00,22.560000000,10.260000000
2019-10-31T01:50:00.0000000-08:00,21.560000000,10.420000000
2019-10-31T02:00:00.0000000-08:00,21.910000000,9.920000000
2019-10-31T02:10:00.0000000-08:00,22.020000000,9.700000000
2019-10-31T02:20:00.0000000-08:00,22.140000000,9.160000000
2019-10-31T02:30:00.0000000-08:00,21.300000000,8.760000000
2019-10-31T02:40:00.0000000-08:00,19.720000000,8.910000000
2019-10-31T02:50:00.0000000-08:00,19.490000000,8.670000000
2019-10-31T03:00:00.0000000-08:00,20.420000000,7.741000000
2019-10-31T03:10:00.0000000-08:00,20.090000000,7.993000000
2019-10-31T03:20:00.0000000-08:00,20.000000000,7.866000000
2019-10-31T03:30:00.0000000-08:00,20.010000000,7.782000000
2019-10-31T03:40:00.0000000-08:00,19.770000000,7.973000000
2019-10-31T03:50:00.0000000-08:00,19.970000000,8.180000000
2019-10-31T04:00:00.0000000-08:00,19.400000000,8.280000000
2019-10-31T04:10:00.0000000-08:00,18.800000000,7.676000000
2019-10-31T04:20:00.0000000-08:00,18.640000000,7.158000000
2019-10-31T04:30:00.0000000-08:00,17.970000000,7.392000000
2019-10-31T04:40:00.0000000-08:00,18.020000000,7.155000000
2019-10-31T04:50:00.0000000-08:00,17.040000000,7.115000000
2019-10-31T05:00:00.0000000-08:00,16.660000000,7.258000000
2019-10-31T05:10:00.0000000-08:00,16.020000000,7.537000000
2019-10-31T05:20:00.0000000-08:00,15.800000000,7.438000000
2019-10-31T05:30:00.0000000-08:00,15.960000000,7.043000000
2019-10-31T05:40:00.0000000-08:00,15.370000000,7.455000000
2019-10-31T05:50:00.0000000-08:00,15.470000000,7.686000000
2019-10-31T06:00:00.0000000-08:00,14.880000000,7.743000000
2019-10-31T06:10:00.0000000-08:00,14.790000000,8.020000000
